58.96290779,0,1,32.40476227
59.75025257,0,1,31.664114
59.93551818,0,1,7809.306152
60.9390375,0,1,448.5516052
61.94258717,0,1,471.0307617
62.91528491,0,1,63.08901978
63.91889392,0,1,43.01747131
64.99973783,0,1,22.31783485
71.96427067,0,1,8.864105225
76.95302776,0,1,66.37319183
78.93018769,0,1,1806.404785
87.01758348,0,1,46.22802353
90.99625736,0,1,32.16597366
93.02051624,0,1,94.00301361
94.96762155,0,1,724.3892212
95.89484512,0,1,59.10580063
95.97211556,0,1,13.099617
96.94572408,0,1,1065.517212
97.98117991,0,1,4.669671059
101.0413314,0,1,107.7497482
111.0115802,0,1,95.27248383
114.0263074,0,1,170.5996704
115.0158059,0,1,626.2982788
115.0621875,0,1,84.15755463
116.0362419,0,1,95.2098999
117.0025939,0,1,133.1482697
118.0153418,0,1,44.16373825
118.927617,0,1,3.938235521
121.0150902,0,1,132.9614105
122.9944102,0,1,20.42617607
124.0304983,0,1,62.0933075
125.0202079,0,1,51.03625488
128.0358787,0,1,74.9045639
129.0102116,0,1,18.51883698
129.0411456,0,1,133.4619446
130.0618962,0,1,105.9606247
131.9952027,0,1,72.19416046
133.0005534,0,1,104.1811142
134.0213987,0,1,92.82840729
135.0422556,0,1,440.6846008
136.0322054,0,1,65.83362579
136.9757617,0,1,6.093742847
137.0299025,0,1,76.26503754
138.0198825,0,1,354.5164795
138.0585596,0,1,10.13538551
138.9712244,0,1,6258.251953
139.9767085,0,1,148.8127747
140.0385904,0,1,932.9695435
140.9822229,0,1,56.66481018
141.044106,0,1,1485.073608
141.9722914,0,1,3.025190353
142.0419037,0,1,256.8804626
143.1170732,0,1,147.7351837
144.0298298,0,1,84.4199295
146.0100947,0,1,71.92630768
149.0889464,0,1,143.1437836
151.0229874,0,1,251.2297363
152.028717,0,1,147.1034698
153.0189862,0,1,233.5365448
154.0324931,0,1,453.7907715
155.053749,0,1,2575.188965
155.9976631,0,1,52.86000443
156.0672941,0,1,1678.605835
156.9338433,0,1,63.35644913
157.0266962,0,1,70.50708771
157.0731177,0,1,874.1376343
157.1195393,0,1,170.0209503
158.0557486,0,1,147.0981293
158.9145887,0,1,241.7673187
159.0848202,0,1,11.94932079
160.0442648,0,1,94.44338989
