(1*mz1--1*H)/3
(1*mz1--1*Hac--1*H)/2
(1*mz1--1*FA--1*H)/2
(1*mz1--1*FA--1*H)/1
(1*mz1-1*NH4--1*Hac--2*H)/1
(1*mz1--1*Hac--1*H-1*H2O)/1
(1*mz1-1*COOH--1*Hac--1*H2O)/2
(1*mz1--1*H--1*H2O)/2
(1*mz1--1*H--1*H2O)/1
(1*mz1-1*Cl-1*ACN--2*FA)/1
(1*mz1-1*COOH--1*Hac)/2
(1*mz1-1*COOH--1*Hac)/1
(1*mz1--1*H)/2
(1*mz1--1*H)/1
(1*mz1-1*Cl-1*ACN--2*FA-1*H2O)/1
(1*mz1-1*COOH--1*Hac-1*H2O)/2
(1*mz1-1*Cl--1*FA-1*H2O)/2
(1*mz1-1*K--1*FA--2*H-1*H2O)/2
(1*mz1-1*Cl--1*Hac-2*H2O)/2
(1*mz1-1*Na-1*ACN--1*FA--2*H)/1
(1*mz1--1*H-1*H2O)/1
(1*mz1-1*Na--2*H)/3
(1*mz1-1*Na--2*H)/2
(1*mz1-1*Na--2*H)/1
(1*mz1-2*FA--1*Hac--1*H)/1
(1*mz1-1*COOH-1*ACN--3*H2O)/1
(1*mz1-1*Cl)/2
(1*mz1-1*Cl)/1
(1*mz1-1*K--2*H)/3
(1*mz1-1*K--2*H)/2
(1*mz1-2*COOH-1*H--3*H2O)/1
(1*mz1-1*Na-1*Cl--1*H--1*H2O)/3
(1*mz1-2*Na--3*H)/3
(1*mz1-1*COOH)/1
(1*mz1-1*K-2*Cl--2*FA-2*H2O)/2
(1*mz1-1*CH3COO)/1
(1*mz1--1*H2O-1*Br)/3
(1*mz1--1*H2O-1*Br)/2
(1*mz1-1*K-2*Cl--1*FA)/3
(1*mz1-2*K--3*H)/2
(1*mz1-1*Cl-1*Hac)/1
(1*mz1-1*K-1*CH3COO--1*H)/1
(1*mz1--1*FA--1*H-1*DAN)/1
(1*mz1-1*CF3COO)/1
(1*mz1-1*Cl-1*Hac-1*H2O)/1
(1*mz1-1*K-1*ACN--2*H-2*H2O)/1
(1*mz1-1*Na-1*Cl-1*CH3COO)/1
(1*mz1-2*Na-2*Cl--1*H-1*H2O)/2
(1*mz1-1*CH3COO-2*FA--1*H2O)/1
(1*mz1-2*Cl-2*ACN-1*H--1*H2O)/1
(1*mz1-2*Hac--1*H-1*H2O)/1
(1*mz1--1*H--1*H2O-1*DAN)/1
(1*mz1-1*COOH-1*ACN-3*H2O)/1
(1*mz1-1*CH3COO-2*ACN)/1
(1*mz1-1*Cl-2*ACN-2*H2O)/1
(1*mz1-1*NH4-3*COOH-1*H)/1
(1*mz1-1*DAN--H)/2
(1*mz1--1*H-1*DAN)/1
(1*mz1-1*Cl-2*ACN-3*H2O)/1
(1*mz1-2*ACN-2*FA--1*H)/1
(1*mz1-1*K--2*H--1*H2O-1*DAN)/1
